,0
0,meta_id
1,lang
2,type
3,rest
4,collection_timestamp_x
5,hash_unique_id
6,year
7,month
8,day
9,source_filename
10,LABEL_0_PRED
11,LABEL_1_PRED
12,n_types
13,worker_id
14,poi_id
15,duetinfo_duetfromid
16,meta_createtime
17,meta_scheduletime
18,meta_itemcommentstatus
19,meta_diversificationid
20,author_commentsetting
21,author_duetsetting
22,author_stitchsetting
23,author_downloadsetting
24,author_createtime
25,music_duration
26,music_schedulesearchtime
27,stats_diggcount
28,stats_sharecount
29,stats_commentcount
30,stats_playcount
31,stats_collectcount
32,video_height
33,video_width
34,video_duration
35,video_bitrate
36,statuscode
37,meta_categorytype
38,poi_type
39,poi_citycode
40,poi_countrycode
41,authorstats_followercount
42,authorstats_followingcount
43,authorstats_heart
44,authorstats_heartcount
45,authorstats_videocount
46,authorstats_diggcount
47,authorstats_friendcount
48,meta_desc
49,meta_locationcreated
50,meta_diversificationlabels
51,author_uniqueid
52,author_nickname
53,author_signature
54,music_title
55,music_authorname
56,music_album
57,video_ratio
58,video_encodedtype
59,video_format
60,video_videoquality
61,video_codectype
62,video_definition
63,statusmsg
64,meta_serverabversions
65,meta_suggestedwords
66,author_roomid
67,subtitle_subtitle_lang
68,bitrate_bitrate_info
69,text_extra_user_mention
70,text_extra_hashtag_mention
71,warning_warning
72,meta_aigclabeltype
73,meta_aigcdescription
74,music_id
75,author_id
76,description_hash
77,poi_name
78,poi_address
79,poi_city
80,poi_province
81,poi_country
82,poi_fatherpoiid
83,poi_fatherpoiname
84,poi_category
85,poi_tttypecode
86,poi_typecode
87,poi_tttypenametiny
88,poi_tttypenamemedium
89,poi_tttypenamesuper
90,adress_addresscountry
91,adress_addresslocality
92,adress_addressregion
93,adress_streetaddress
94,meta_adlabelversion
95,meta_bainfo
96,meta_textlanguage
97,collection_timestamp_y
98,meta_secret
99,meta_privateitem
100,meta_duetenabled
101,meta_stitchenabled
102,meta_indexenabled
103,author_verified
104,author_openfavorite
105,music_collected
106,meta_iscontentclassified
107,meta_isaigc
108,meta_isad
109,meta_isecvideo
110,timestamp
111,pol
112,hour
113,country
114,processed_desc
115,raw
116,duetInfo_duetFromId
117,meta_createTime
118,meta_scheduleTime
119,meta_itemCommentStatus
120,meta_diversificationId
121,author_commentSetting
122,author_duetSetting
123,author_stitchSetting
124,author_downloadSetting
125,music_scheduleSearchTime
126,stats_diggCount
127,stats_shareCount
128,stats_commentCount
129,stats_playCount
130,stats_collectCount
131,statusCode
132,poi_cityCode
133,poi_countryCode
134,meta_locationCreated
135,meta_diversificationLabels
136,author_uniqueId
137,music_authorName
138,video_encodedType
139,video_videoQuality
140,video_codecType
141,statusMsg
142,meta_serverABVersions
143,meta_suggestedWords
144,author_roomId
145,meta_aigcLabelType
146,meta_AIGCDescription
147,poi_fatherPoiId
148,poi_fatherPoiName
149,poi_ttTypeCode
150,poi_typeCode
151,poi_ttTypeNameTiny
152,poi_ttTypeNameMedium
153,poi_ttTypeNameSuper
154,adress_addressCountry
155,adress_addressLocality
156,adress_addressRegion
157,adress_streetAddress
158,meta_adLabelVersion
159,meta_BAInfo
160,meta_privateItem
161,meta_duetEnabled
162,meta_stitchEnabled
163,meta_indexEnabled
164,author_openFavorite
165,meta_isContentClassified
166,meta_IsAigc
167,meta_isAd
168,meta_isECVideo
